,Geto,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gojo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kent,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Megumi,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sukuna,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yuta,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,,,,,,,Limitless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,76541,,Buff,172218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,83500,,Buff,187874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,90458,,Buff,203530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4,97416,,Buff,219186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5,104375,,Buff,234843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6,111333,,Buff,250499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7,118291,,Buff,266155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8,125249,,Buff,281811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,9,132208,,Buff,297467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,10,139166,,Buff,313124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
