v,Gilgamesh ,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Saber,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Archer,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Illya,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Lancer,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Medea,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Bell,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Tsuna,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,
,Damage,7730,,Damage,541199,56050,425,150333,,Damage,10050,,Damage,459467,56050,683,153155.6,,Damage,8946,,Damage,223658,56050,568,142005.3333,,Damage,8284,,Damage,414182,56050,522,153400.8889,,Damage,10050,,Damage,251270,56050,896,174493.3333,,Damage,5964,,Damage,134195,56050,481,106503.8095,,Damage,8284,,Damage,165672,56050,443,92040,,Damage,4025,,Damage,89462,56050,349,92775.82222,
,Range ,29.1,,Range ,44.3,56050,,,,Range ,25.3,,Range ,50.6,56050,,,,Range ,26.6,,Range ,53.1,56050,,,,Range ,17.7,,Range ,31.6,56050,,,,Range ,21.5,,Range ,38.0,56050,,,,Range ,31.6,,Range ,56.9,56050,,,,Range ,24.0,,Range ,35.4,56050,,,,Range ,26.6,,Range ,40.5,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,
,Damage,7730,,Damage,541199,56050,425,150333,,Damage,10050,,Damage,459467,56050,683,153155.6,,Damage,8946,,Damage,223658,56050,568,142005.3333,,Damage,8284,,Damage,414182,56050,522,153400.8889,,Damage,10050,,Damage,251270,56050,896,174493.3333,,Damage,5964,,Damage,134195,56050,481,106503.8095,,Damage,8284,,Damage,165672,56050,443,92040,,Damage,4025,,Damage,89462,56050,349,92775.82222,
,Range ,28.5,,Range ,43.3,56050,,,,Range ,24.8,,Range ,49.5,56050,,,,Range ,26.0,,Range ,52.0,56050,,,,Range ,17.3,,Range ,30.9,56050,,,,Range ,21.0,,Range ,37.1,56050,,,,Range ,30.9,,Range ,55.7,56050,,,,Range ,23.5,,Range ,34.7,56050,,,,Range ,26.0,,Range ,39.6,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,118000,,3,,,,,,,74800,,3,,,,,,,62550,,4,,,,,,,98000,,3,,,,,,,48700,,4,,,,,,,44250,,5,,,,,,,52000,,4,,,,,,,66400,,4,
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,
,Damage,7730,,Damage,541199,56050,425,150333,,Damage,10050,,Damage,459467,56050,683,153155.6,,Damage,8946,,Damage,223658,56050,568,142005.3333,,Damage,8284,,Damage,414182,56050,522,153400.8889,,Damage,10050,,Damage,251270,56050,896,174493.3333,,Damage,5964,,Damage,134195,56050,481,106503.8095,,Damage,8284,,Damage,165672,56050,443,92040,,Damage,4025,,Damage,89462,56050,349,92775.82222,
,Range ,27.8,,Range ,42.4,56050,,,,Range ,24.2,,Range ,48.4,56050,,,,Range ,25.4,,Range ,50.8,56050,,,,Range ,16.9,,Range ,30.3,56050,,,,Range ,20.6,,Range ,36.3,56050,,,,Range ,30.3,,Range ,54.5,56050,,,,Range ,23.0,,Range ,33.9,56050,,,,Range ,25.4,,Range ,38.7,56050,,,
,SPA,6.3,,SPA,10.8,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,56050,,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,
