v,Sasuke(Mangekyo),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Naruto(Six Tails),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Jiriya(Sage),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Pain,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Konan,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Chiko,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,6,32.4,18,,10,,2288247,,6.48,6,25.2,,,,,914515,,5.04,6,28.8,,,,,379059,,5.76,6,46.8,,,,,563620,,9.36,6,21.6,,,,,417493,,4.32,6,28.8,,,,,314284,,5.76
,7,38.9,18,,10,,,,6.48,7,30.2,,,,,,,5.04,7,34.6,,,,,,,5.76,7,56.2,,,,,,,9.36,7,25.9,,,,,,,4.32,7,34.6,,,,,,,5.76
,8,45.4,18,,8,,,,6.48,8,35.3,,,,,,,5.04,8,40.3,,,,,,,5.76,,,,,,,,,9.36,8,30.2,,,,,,,4.32,8,40.3,,,,,,,5.76
,9,51.8,19,,5,,Dmg,Burn,6.48,9,40.3,,,,,,,5.04,9,46.1,,,,,,,5.76,,,,,,,,,9.36,9,34.6,,,,,,,4.32,9,46.1,,,,,,,5.76
,10,58.3,20,,1,,1484429,608616,6.48,10,45.4,,,,,Dmg,,5.04,10,51.8,,,,,Dmg,,5.76,,,,,,,Dmg,,9.36,10,38.9,,,,,Dmg,,4.32,10,51.8,,,,,Dmg,,5.76
,,,,,,,2226643,1369386,6.48,11,50.4,,,,,3048384,,5.04,11,57.6,,,,,1378397,,5.76,,,,,,,3220685,,9.36,11,43.2,,,,,1192838,,4.32,11,57.6,,,,,1142851,,5.76
,,,,,,,,,6.48,12,55.4,,,,,4572576,,5.04,,,,,,,2067595,,5.76,,,,,,,4831027,,9.36,12,47.5,,,,,1789258,,4.32,,,,,,,1714277,,5.76
,,,,,,,,,6.48,,,,,,,,,5.04,,,,,,,,,5.76,,,,,,,,,9.36,13,51.8,,,,,,,4.32,,,,,,,,,5.76
,,,,,,,Aoe DPS,,6.48,,,,,,,Aoe DPS,,5.04,,,,,,,Aoe DPS,,5.76,,,,,,,Aoe DPS,,9.36,14,56.2,,,,,Aoe DPS,,4.32,,,,,,,Aoe DPS,,5.76
,,,,,,,100%,5050769,6.48,,,,,,,100%,4572576,,,,,,,,100%,1895296,,,,,,,,100%,2818099,,,,,,,,100%,2087467,4.32,,,,,,,100%,1571420,
,,,,,,,200%,16492004,6.48,,,,,,,200%,9145152,,,,,,,,200%,3790591,,,,,,,,200%,5636198,,,,,,,,200%,4174934,4.32,,,,,,,200%,3142841,
,,,,,84,,300%,34323705,,,,,,,,300%,13717728,,,,,,,,300%,5685887,,,,,,,,300%,8454298,,,,,,,,300%,6262402,4.32,,,,,,,300%,4714261,
